SlotMachineKey,AssetNumber,OnFloor,OffFloor,Status,LocationID,Zone,Bank,Position,Denomination,Par,SerialNumber,CabinetTypeID,DisplayID,ManufacturerID,ContributionTypeID,GameCode,Description,GameID,MultiGame,leased,contribution,MaxCoins,CasinoCode,RecordEffectiveDate,RecordTermDate,ManualUpdate,SourceSystem,LoadDTTM
32742,103784,2017-11-21 00:00:00.000,NULL,A,028202,02,"82        ","02 ",0.0100,12.5000,2065683,NULL,7,6,NULL,V Reel,180C TEXAS TEA 01-05 MD,5362821,0,1,NULL,180,HRLV,2017-11-21 00:00:00.000,2017-11-20 00:00:00.000,0,IGT,2018-02-24 05:30:14.787
34905,103811,2018-02-07 00:00:00.000,NULL,A,011603,01,"16        ","03 ",0.0100,11.4900,5023857,11,7,200022,NULL,V Reel,250C LUNARIS 01-05 MD,4986462,0,1,NULL,250,HRLV,2018-02-07 00:00:00.000,2018-02-06 00:00:00.000,0,IGT,2018-04-18 05:30:15.793
37657,103831,2018-06-07 00:00:00.000,NULL,A,028204,02,"82        ","04 ",0.01,10.1000,2065676,NULL,7,6,NULL,V Reel,250C FIRE PEARL 01-05 MD,5366269,0,1,NULL,250,HRLV,2018-06-07 00:00:00.000,2018-06-06 00:00:00.000,0,IGT,2018-06-15 05:30:20.443
30727,300718,2017-11-21 00:00:00.000,NULL,A,028605,02,"86        ","05 ",0.0500,7.5400,1938123,NULL,7,6,NULL,Multi,GAME KING .05-1 MD,5792557,0,1,NULL,100,HRLV,2017-11-21 00:00:00.000,2017-11-20 00:00:00.000,0,IGT,2017-12-13 05:30:12.630
34084,103812,2018-02-07 00:00:00.000,NULL,A,011604,01,"16        ","04 ",0.0100,11.8800,5023850,11,7,200022,NULL,V Reel,250C OPEN KIMONO 01-05 MD,4988848,0,1,NULL,250,HRLV,2018-02-07 00:00:00.000,2018-02-06 00:00:00.000,0,IGT,2018-03-31 05:30:17.670
30983,103777,2017-10-11 00:00:00.000,NULL,A,020602,02,"06        ","02 ",0.0100,12.3600,HXS8004804,15,7,200015,NULL,Participation,250C DUMB & DUMBER 4L,6577433,1,0,NULL,250,HRLV,2017-10-11 00:00:00.000,2017-10-10 00:00:00.000,0,IGT,2017-12-26 05:30:11.793
41761,103811,2018-02-07 00:00:00.000,NULL,A,011603,01,"16        ","03 ",0.01,11.4900,5023857,NULL,7,200022,NULL,V Reel,250C LUNARIS 01-05 MD,4986462,0,1,NULL,250,HRLV,2018-02-07 00:00:00.000,2018-02-06 00:00:00.000,0,IGT,2018-08-30 05:30:29.880
31065,103793,2017-12-20 00:00:00.000,NULL,A,022601,02,"26        ","01 ",0.0100,11.4900,2065682,NULL,7,6,NULL,V Reel,200C GOLDEN GODDESS 01-05 MD,5358664,0,1,NULL,200,HRLV,2017-12-20 00:00:00.000,2017-12-19 00:00:00.000,0,IGT,2017-12-30 05:30:12.233
24755,102552,2012-04-26 00:00:00.000,2014-12-04 00:00:00.000,S,033404,03,"34        ","04 ",0.0100,10.0200,1861084,33,7,6,NULL,Participation,300C HANGOVER 2/1 M/P 4L,5332188,0,1,NULL,300,HRLV,2012-04-26 00:00:00.000,2014-12-04 00:00:00.000,0,IGT,2017-10-09 06:59:05.607
33583,500650,2018-01-25 00:00:00.000,NULL,A,014401,01,"44        ","01 ",1.0000,13.9900,2221903,33,4,6,NULL,Participation,MEGA PINK DIAMOND,1358957769,1,0,NULL,3,HRLV,2018-01-25 00:00:00.000,2018-01-24 00:00:00.000,0,IGT,2018-03-19 05:30:16.670
