AssetNumber,LocationID,GamingDateID,GamingDate,SlotMachineKey,Plays,DaysOnFloor,ActualCoinIn,MeteredCoinIn,ActualCoinOut,MeteredCoinOut,Jackpots,Variance,ActualSoftDrop,MeteredSoftDrop,ActualHardDrop,MeteredHardDrop,ActualTicketDrop,MeteredTicketDrop,ActualTotalDrop,MeteredTotalDrop,Fills,ActualTicketIn,MeteredTicketIn,ActualTicketOut,MeteredTicketOut,ExtraCreditUsed,Bonus,ActualWin,MeteredWin,TheoreticalWin,LeaseFees,ActualAdjustedWin,MeteredAdjustedWin,CasinoCode,ManualUpdate
102696,032601,7002,2014-03-03 00:00:00.000,26441,313,1,0.00,366.95,0.00,188.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,298.85,0.00,290.39,0.00,0.00,0.00,188.49,0.00,0.00,0.00,188.49,HRLV,0
101469,WHXXXX,4222,2006-07-23 00:00:00.000,25634,1765,1,0.00,1163.75,0.00,1876.93,1766.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
500251,033603,4550,2007-06-16 00:00:00.000,-1,22,1,0.00,51.00,0.00,31.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
101615,025803,4502,2007-04-29 00:00:00.000,-1,207,1,0.00,108.99,0.00,78.80,19.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
101720,042202,5497,2010-01-18 00:00:00.000,29215,165,1,0.00,115.20,0.00,86.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,106.80,0.00,98.25,0.00,0.00,0.00,86.65,0.00,0.00,0.00,86.65,HRLV,0
102277,020406,7406,2015-04-11 00:00:00.000,25285,1834,1,0.00,306.35,0.00,290.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,204.64,0.00,377.65,0.00,0.00,0.00,290.36,0.00,0.00,0.00,290.36,HRLV,0
401118,010215,6722,2013-05-27 00:00:00.000,27944,20,1,0.00,10.75,0.00,11.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
500583,051604,8654,2018-09-10 00:00:00.000,28475,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,304.00,0.00,404.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
400659,040804,3484,2004-07-15 00:00:00.000,-1,1236,1,0.00,1203.75,0.00,1052.75,84.00,0.00,0.00,266.00,81.50,81.50,0.00,0.00,81.50,347.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
102418,036606,6377,2012-06-16 00:00:00.000,26465,3488,1,0.00,1991.32,0.00,1707.94,0.00,63.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,647.08,0.00,732.70,63.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
102990,022805,7341,2015-02-05 00:00:00.000,-1,41,1,0.00,34.25,0.00,234.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,472.13,0.00,705.78,0.00,0.00,0.00,234.90,0.00,0.00,0.00,234.90,HRLV,0
750022,061004,5651,2010-06-21 00:00:00.000,29679,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
401094,044403,7587,2015-10-09 00:00:00.000,25239,549,1,0.00,1117.25,0.00,1249.75,0.00,10.00,0.00,447.00,0.00,0.00,0.00,320.34,0.00,767.34,0.00,0.00,320.34,0.00,899.84,10.00,0.00,0.00,1239.75,0.00,0.00,0.00,1239.75,HRLV,0
103664,042901,8254,2017-08-06 00:00:00.000,30237,723,1,0.00,524.76,0.00,974.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83.08,0.00,753.05,0.00,0.00,0.00,974.73,0.00,0.00,0.00,974.73,HRLV,0
